trip_id,started_at,ended_at,start_station_name,end_station_name,bike_id,user_type,user_birth_year,price
100001,2025-01-01 05:38:40,2025-01-01 05:50:29,Dockside Market,Aurora & 40th,1009,member,1971,0.00
100002,2025-01-01 08:11:10,2025-01-01 08:14:12,Harbor West,Harbor West,1116,member,1975,0.00
100003,2025-01-01 08:15:06,2025-01-01 08:25:06,Warehouse Row,Old Town Square,1106,member,1984,0.00
100004,2025-01-01 08:23:36,2025-01-01 08:33:29,Lighthouse Point,Steelworks Gate,1166,member,1980,0.00
100005,2025-01-01 08:32:03,2025-01-01 08:47:33,Lighthouse Point,Maple Grove,1098,member,1978,0.00
100006,2025-01-01 10:14:30,2025-01-01 10:23:36,Summit Ridge,Summit Ridge,1093,member,1998,0.00
100007,2025-01-01 13:09:17,2025-01-01 13:21:22,Foundry District,Marina Green,1077,member,1986,0.00
100008,2025-01-01 14:32:08,2025-01-01 14:40:09,Pier 12 ,Guildhall Steps,1048,member,1996,0.00
100009,2025-01-01 14:32:48,2025-01-01 14:38:50,Old Town Square,Gasometer Park,1031,member,1988,0.00
100010,2025-01-01 15:14:45,2025-01-01 15:33:55,Gasometer Park,Poplar Circle,1044,member,1972,0.00
100010,2025-01-01 15:14:45,2025-01-01 15:33:55,Gasometer Park,Poplar Circle,1044,member,1972,0.00
100011,2025-01-01 16:31:05,2025-01-01 16:54:07,Gasometer Park,Old Town Square,1184,member,1982,0.00
100012,2025-01-01 17:24:36,2025-01-01 18:24:32,Observatory Hill,Athletics Center,1043,casual,2002,10.00
100013,2025-01-01 17:40:51,2025-01-01 17:56:53,Warehouse Row,Observatory Hill,1078,member,1978,0.00
100014,2025-01-02 08:43:47,2025-01-02 09:00:24,Old Town Square,Old Town Square,1137,casual,1978,3.55
100015,2025-01-02 08:52:01,2025-01-02 09:09:46,Warehouse Row,Opera House,1175,casual,1994,3.70
100016,2025-01-02 09:15:47,2025-01-02 09:30:13,Old Mill Crossing,Kayak Launch,1019,member,1992,0.00
100017,2025-01-02 09:22:18,2025-01-02 09:33:59,Kayak Launch,Kayak Launch,1138,member,2005,0.00
100018,2025-01-02 11:15:53,2025-01-02 11:20:28,Maple Grove,Merchant Hall,1085,member,1990,0.00
100019,2025-01-02 11:28:39,2025-01-02 12:44:31,University Gate,Merchant Hall,1009,member,2000,3.10
100020,2025-01-02 11:33:11,2025-01-02 11:42:51,Harbor East,Old Town Square,1192,member,1994,0.00
100021,2025-01-02 11:59:32,2025-01-02 12:19:20,Central Station,Student Commons,1006,casual,1974,4.00
100022,2025-01-02 12:19:11,2025-01-02 12:37:26,Union Plaza,Union Plaza,1164,member,1980,0.00
100023,2025-01-02 13:35:19,2025-01-02 13:45:51,Merchant Hall,Merchant Hall,1066,member,1982,0.00
100024,2025-01-02 14:17:05,2025-01-02 14:28:30,Old Town Square,Old Town Square,1011,member,1983,0.00
